you,46276
i,44183
the,38451
to,32771
a,27758
it,19185
and,16975
is,16323
of,13805
in,13218
have,12970
that,12888
for,12590
do,11019
are,10048
your,9398
what,9318
can,9022
we,8744
me,8388
my,8383
be,7669
this,7613
on,7219
like,7133
but,7034
yes,6338
with,6268
how,6086
so,5854
will,5498
about,5389
s,5299
at,5089
there,4929
not,4785
well,4779
i'm,4771
it's,4735
think,4679
good,4665
no,4545
all,4381
know,4378
get,4276
just,4266
would,4250
here,4034
if,4025
go,3970
one,3839
was,3787
see,3731
t,3714
right,3710
don't,3671
they,3629
very,3620
really,3524
some,3493
time,3409
please,3323
he,3310
want,3307
oh,3104
as,2993
take,2961
our,2956
that's,2954
much,2947
up,2841
now,2829
need,2810
too,2772
an,2747
going,2739
out,2724
sure,2626
from,2626
ok,2619
or,2610
thank,2602
am,2529
when,2514
did,2402
could,2340
i'll,2324
should,2320
then,2311
m,2169
help,2157
more,2148
why,2112
any,2090
them,2020
she,1984
been,1983
by,1979
make,1973
look,1938
work,1937
got,1933
come,1922
new,1829
great,1784
let,1748
people,1678
don,1627
has,1626
sir,1607
where,1600
thanks,1591
sorry,1578
tell,1571
her,1556
day,1537
may,1524
first,1464
two,1447
had,1416
lot,1403
i've,1401
way,1398
give,1370
us,1355
over,1342
yeah,1341
back,1338
only,1335
what's,1322
today,1319
long,1311
many,1311
anything,1299
him,1289
ll,1269
i'd,1259
something,1257
company,1253
room,1248
next,1213
job,1205
other,1198
course,1194
mr,1180
also,1174
can't,1172
you're,1160
last,1157
',1156
better,1151
morning,1151
problem,1134
nice,1133
say,1132
does,1105
find,1086
were,1081
after,1054
his,1036
before,1028
try,1025
little,1010
than,1007
kind,1000
fine,996
must,994
who,990
these,980
which,971
hello,970
maybe,967
money,962
always,961
things,941
call,940
pay,937
buy,935
let's,925
ve,905
because,901
re,900
down,897
tomorrow,895
use,884
check,879
name,879
love,875
feel,869
week,866
most,864
sounds,858
still,858
off,850
year,834
again,832
never,829
hi,825
didn't,818
days,815
home,803
their,800
put,800
three,791
mean,789
idea,787
few,779
best,762
into,757
doing,757
office,745
hope,741
ask,733
food,731
quite,728
around,710
night,704
years,699
afraid,690
looking,690
car,689
mind,686
bad,682
else,682
working,679
excuse,679
business,678
every,674
okay,673
keep,670
number,664
english,653
made,651
meet,642
actually,641
everything,641
hard,639
d,638
even,638
card,635
order,633
wait,630
school,628
another,627
big,621
thing,615
place,610
price,608
chinese,604
same,603
month,597
soon,597
afternoon,595
house,591
such,580
each,579
said,577
minutes,571
those,571
show,570
change,570
dollars,564
might,564
thought,563
you'll,563
welcome,557
leave,553
old,551
bus,551
start,550
usually,546
guess,539
hear,537
done,537
heard,536
believe,535
while,535
five,531
pretty,530
eat,529
certainly,525
yet,522
happy,522
class,521
looks,518
already,517
enough,516
getting,516
we'll,510
isn't,504
ready,496
stay,496
tonight,493
bring,491
there's,487
later,486
hey,485
miss,482
different,476
late,474
bit,473
important,473
nothing,471
play,471
wrong,470
city,466
talk,465
dinner,464
remember,459
phone,456
coming,454
account,452
friends,451
service,450
away,448
won't,448
worry,447
through,446
used,446
often,441
left,437
free,433
doesn't,433
ever,431
he's,431
party,431
enjoy,430
drink,426
easy,424
haven't,424
computer,422
glad,419
meeting,419
offer,416
high,415
moment,415
family,414
send,412
beautiful,410
seems,409
watch,408
true,408
having,404
hours,402
stop,402
understand,400
evening,400
care,398
speak,398
someone,394
china,390
together,388
interested,387
turn,387
open,387
yuan,386
we're,385
world,384
live,384
wow,384
yourself,382
told,380
probably,380
both,380
hour,380
sometimes,379
hotel,379
went,376
small,376
country,374
interesting,373
able,372
until,369
set,369
far,367
information,367
life,367
special,366
prefer,364
coffee,363
book,359
myself,359
shall,359
ten,357
read,356
own,355
weekend,353
movie,352
didn,352
expensive,351
bank,349
being,348
four,346
flight,343
part,342
music,341
friend,341
since,341
yesterday,340
busy,340
they're,340
ticket,340
bye,340
experience,335
fun,335
thinking,335
man,334
fill,334
sign,333
once,332
half,330
doctor,329
bill,328
seen,327
almost,327
apartment,327
plan,326
credit,325
matter,323
second,323
everyone,320
water,320
possible,318
table,317
mary,316
restaurant,316
charge,315
hot,314
form,314
agree,314
ago,314
university,311
exactly,311
manager,311
trip,310
department,310
though,310
happened,309
position,309
called,307
several,307
you've,305
cost,305
pick,304
minute,303
anyway,302
learn,302
she's,300
end,299
times,297
won,297
line,296
taking,295
walk,294
tv,293
weather,292
cold,291
calling,290
wife,289
spend,289
here's,288
weeks,287
clothes,287
bought,286
wish,286
seat,285
street,285
parents,285
perfect,284
person,282
interview,281
wanted,279
wonderful,279
smith,278
cash,277
air,276
john,275
case,275
available,275
boss,274
found,273
reservation,272
lost,271
rather,271
move,271
news,269
tea,267
size,266
early,266
birthday,265
alright,265
run,265
date,264
started,261
talking,261
friday,260
large,260
red,260
trying,259
beijing,258
th,258
full,257
under,257
makes,257
saw,256
married,256
we've,256
market,256
comes,256
shopping,254
months,254
making,253
white,253
deposit,252
write,252
internet,251
train,251
visit,250
sit,249
mom,249
six,249
lunch,249
problems,248
without,248
tom,247
summer,246
sales,245
took,244
real,244
madam,243
speaking,243
children,243
drive,243
products,243
deal,241
game,240
pleasure,238
wear,237
appointment,237
hand,236
its,236
during,235
girl,235
came,235
mail,234
along,234
choose,234
least,232
says,232
perhaps,232
whole,231
hold,230
favorite,229
serious,229
forget,228
living,228
rest,227
team,227
chance,226
tired,226
paper,225
park,225
couple,225
trouble,225
store,225
either,225
seem,224
waiting,224
study,223
appreciate,223
recommend,221
rent,221
cut,220
thirty,219
exercise,219
hair,219
short,218
insurance,218
books,218
college,217
seven,215
excellent,214
color,214
you'd,214
feeling,214
questions,213
wonder,212
twenty,212
letter,211
cool,210
supposed,210
saturday,209
black,209
floor,208
decided,207
especially,207
per,207
difficult,207
salary,206
worked,206
vacation,206
guy,205
american,205
isn,205
list,205
besides,204
terrible,202
means,202
tried,201
near,200
question,200
return,200
aren't,200
hundred,200
mother,200
young,199
top,198
sale,198
rate,197
needs,196
