',128
'a,4
'acaba,1
'adalet'in,1
'adamlar',1
'adamları',1
'ademoğulları',1
'aferin',1
'afili,1
'akıllı,1
'aldırma,1
'ali,1
'amaçsız,1
'ana',1
'anı,1
'anı',1
'anın',1
'arkadaş',1
'arkadaşlık,1
'arzunun,1
'arınsın',1
'askeri,1
'atatürk'tür,1
'avanak',1
'aynen,1
'aynı,1
'ayrımcılık,1
'ayvayı,1
'aç',1
'ağbi',1
'ağbı',4
'ağıt'tan,1
'aşklar,1
'baaçede',1
'bakır'dırlar,1
'batılılar',1
'baylar,1
'bazı',1
'başgan',4
'başkahraman,1
'belirli',1
'belki,1
'belki'leri,1
'belleğin,2
'ben,7
'benden,1
'benim,2
'berduş,1
'bey',2
'bilge,1
'bilgisayar,1
'bilip,1
'biliyor,1
'bir,6
'biricik'ini,1
'birtaneciklik',1
'biz,2
'biz',1
'bizim,1
'boş,1
'boşa,1
'bu,4
'bunlar,1
'bunun,1
'buyur,1
'böcek',1
'bütün,1
'büyük,3
'büyükler',1
'büyüyünce,1
'caldas',1
'calling,1
'carpe,1
'cenk',1
'charles,1
'chungking'express,4
'cumhuriyetin,1
'da,16
'dahi',1
'daki,1
'dalgalar,1
'de,15
'deki,1
'deli',1
'demokrasinin,1
'den,5
'depresyon',1
'değer',1
'değişmezlik',1
'diktatör',1
'din,1
'dinleme',1
'diye,1
'diğer,1
'domuz',1
'dostumu',1
'doğu',1
'dur,1
'duyular,1
'dünya,2
'dünya',1
'dünyaya,1
'düzgün,2
'e,3
'earthling,1
'ego',1
'elvada,1
'emek',1
'en,2
'endorfinle',1
'erkek,2
'erkek',1
'erkekler,1
'erotik,1
'ester'e,1
'eve,1
'evet,2
'evet',3
'evin,1
'ey,1
'eğitim',1
'eğitimli',1
'falanca,1
'feda,1
'fedakarlık',3
'ferah',1
'geceyarısı',1
'geri,1
'geri',1
'geyiklerin',1
'geçmiş',1
'gitme,1
'giydirmek',1
'göz,1
'gün,1
'günümüzde,1
'güzel,1
'güç',1
'hadi,1
'harika',1
'hastalıklı',1
'havadan,1
'hayallerinin,1
'hayat,1
'hayatımın,1
'hayatın,2
'hayvan,4
'hayır',1
'hazır,1
'her,1
'hizmetimden,1
'hiç,1
'hot,1
'hüzün,1
'i,24
'icat,1
'ihlali',1
'ihtiyacı,1
'iki,1
'in,6
'inci,1
'indeyim,1
'insan,3
'insan',2
'insanların,1
'interstellar',2
'ipek',1
'irgalamaz,1
'isimsiz',2
'iste,1
'iyi,1
'iyi',2
'iyiliğinizi,1
'içgüdüsel',1
'içgüdüyü',1
'kader'ini,1
'kader'lerinin,1
'kadin',1
'kadın',1
'kafayı,1
'kalabalıklar,1
'kaldırımlar',1
'kalem,1
'kanlı,1
'karabasan'dır,1
'karanlıklar,1
'kaybetmek',1
'kayınvalide',1
'kaçırdığımız,1
'kelebek,2
'kendi,4
'kendi'leri,1
'kendime',1
'kestirme',1
'keşke',1
'ki,1
'kimsin,1
'konsere,1
'kontrol',1
'korku',1
